Año,Region,Provincia,Longitude,Latitude,Empresas,Ventas_Mill_(Usd)
2019,Costa,El oro,-79.96053,-3.25861,100,231.533
2019,Costa,Esmeraldas,-79.65397,0.9592,15,11.748
2019,Costa,Galapagos,-78.73333,0.35,10,2.741
2019,Costa,Guayas,-79.90795,-2.20584,1742,4825.774
2019,Costa,Los rios,-79.53443,-1.80217,32,88.879
2019,Costa,Manabi,-80.45445,-1.05458,160,312.474
2019,Costa,Santa elena,-80.85873,-2.22622,19,14.827
2019,Costa,Santo domingo de los tsachilas,-79.17536,-0.25305,45,66.782
2019,Oriente,Morona santiago,-78.11135,-2.30868,12,7.697
2019,Oriente,Napo,-77.81286,-0.9938,3,0.0
2019,Oriente,Orellana,-75.666667,-0.933333,4,2.995
2019,Oriente,Pastaza,-78.00257,-1.48369,2,0.744
2019,Oriente,Sucumbios,-76.883333,-0.083333,4,11.83
2019,Oriente,Zamora chinchipe,-78.916846,-4.186722,6,4.307
2019,Sierra,Azuay,-79.00453,-2.90055,208,391.708
2019,Sierra,Bolivar,-79.00098,-1.59263,3,0.639
2019,Sierra,Carchi,-77.71727,0.81187,3,0.338
2019,Sierra,Cañar,-78.8486,-2.73969,21,27.355
2019,Sierra,Chimborazo,-78.64712,-1.67098,38,38.367
2019,Sierra,Cotopaxi,-78.61554,-0.93521,12,7.395
2019,Sierra,Imbabura,-78.12233,0.35171,26,48.651
2019,Sierra,Loja,-79.20422,-3.99313,35,59.937
2019,Sierra,Pichincha,-78.52495,-0.22985,1181,5935.422
2019,Sierra,Tungurahua,-78.61675,-1.24908,75,93.664
2020,Costa,El oro,-79.96053,-3.25861,110,119.496
2020,Costa,Esmeraldas,-79.65397,0.9592,17,2.756
2020,Costa,Galapagos,-78.73333,0.35,12,2.163
2020,Costa,Guayas,-79.90795,-2.20584,1864,4375.138
2020,Costa,Los rios,-79.53443,-1.80217,32,88.389
2020,Costa,Manabi,-80.45445,-1.05458,166,290.402
2020,Costa,Santa elena,-80.85873,-2.22622,20,13.274
2020,Costa,Santo domingo de los tsachilas,-79.17536,-0.25305,56,58.874
2020,Oriente,Morona santiago,-78.11135,-2.30868,14,10.343
2020,Oriente,Napo,-77.81286,-0.9938,3,0.0
2020,Oriente,Orellana,-75.666667,-0.933333,6,4.466
2020,Oriente,Pastaza,-78.00257,-1.48369,3,0.298
2020,Oriente,Sucumbios,-76.883333,-0.083333,4,12.996
2020,Oriente,Zamora chinchipe,-78.916846,-4.186722,7,4.677
2020,Sierra,Azuay,-79.00453,-2.90055,232,336.918
2020,Sierra,Bolivar,-79.00098,-1.59263,3,0.434
2020,Sierra,Carchi,-77.71727,0.81187,6,0.313
2020,Sierra,Cañar,-78.8486,-2.73969,19,47.962
2020,Sierra,Chimborazo,-78.64712,-1.67098,37,33.234
2020,Sierra,Cotopaxi,-78.61554,-0.93521,15,11.361
2020,Sierra,Imbabura,-78.12233,0.35171,29,38.974
2020,Sierra,Loja,-79.20422,-3.99313,40,55.637
2020,Sierra,Pichincha,-78.52495,-0.22985,1315,5450.276
2020,Sierra,Tungurahua,-78.61675,-1.24908,78,78.041
2021,Costa,El oro,-79.96053,-3.25861,130,280.737
2021,Costa,Esmeraldas,-79.65397,0.9592,24,5.053
2021,Costa,Galapagos,-78.73333,0.35,17,1.494
2021,Costa,Guayas,-79.90795,-2.20584,2180,5175.121
2021,Costa,Los rios,-79.53443,-1.80217,46,103.175
2021,Costa,Manabi,-80.45445,-1.05458,208,376.983
2021,Costa,Santa elena,-80.85873,-2.22622,28,23.077
2021,Costa,Santo domingo de los tsachilas,-79.17536,-0.25305,68,96.933
2021,Oriente,Morona santiago,-78.11135,-2.30868,16,13.88
2021,Oriente,Napo,-77.81286,-0.9938,5,0.367
2021,Oriente,Orellana,-75.666667,-0.933333,10,6.836
2021,Oriente,Pastaza,-78.00257,-1.48369,2,0.119
2021,Oriente,Sucumbios,-76.883333,-0.083333,6,14.845
2021,Oriente,Zamora chinchipe,-78.916846,-4.186722,10,4.564
2021,Sierra,Azuay,-79.00453,-2.90055,270,437.735
2021,Sierra,Bolivar,-79.00098,-1.59263,5,0.279
2021,Sierra,Carchi,-77.71727,0.81187,7,0.396
2021,Sierra,Cañar,-78.8486,-2.73969,24,66.977
2021,Sierra,Chimborazo,-78.64712,-1.67098,48,43.313
2021,Sierra,Cotopaxi,-78.61554,-0.93521,24,12.951
2021,Sierra,Imbabura,-78.12233,0.35171,34,45.808
2021,Sierra,Loja,-79.20422,-3.99313,54,68.021
2021,Sierra,Pichincha,-78.52495,-0.22985,1671,5800.726
2021,Sierra,Tungurahua,-78.61675,-1.24908,98,103.458
2022,Costa,El oro,-79.96053,-3.25861,141,328.544
2022,Costa,Esmeraldas,-79.65397,0.9592,13,4.231
2022,Costa,Galapagos,-78.73333,0.35,19,2.476
2022,Costa,Guayas,-79.90795,-2.20584,2208,6999.213
2022,Costa,Los rios,-79.53443,-1.80217,51,110.81
2022,Costa,Manabi,-80.45445,-1.05458,207,447.729
2022,Costa,Santa elena,-80.85873,-2.22622,29,29.345
2022,Costa,Santo domingo de los tsachilas,-79.17536,-0.25305,82,89.397
2022,Oriente,Morona santiago,-78.11135,-2.30868,19,15.719
2022,Oriente,Napo,-77.81286,-0.9938,4,0.0
2022,Oriente,Orellana,-75.666667,-0.933333,8,7.123
2022,Oriente,Pastaza,-78.00257,-1.48369,3,0.0
2022,Oriente,Sucumbios,-76.883333,-0.083333,7,1.723
2022,Oriente,Zamora chinchipe,-78.916846,-4.186722,10,5.217
2022,Sierra,Azuay,-79.00453,-2.90055,278,478.916
2022,Sierra,Bolivar,-79.00098,-1.59263,6,0.137
2022,Sierra,Carchi,-77.71727,0.81187,6,0.857
2022,Sierra,Cañar,-78.8486,-2.73969,31,75.328
2022,Sierra,Chimborazo,-78.64712,-1.67098,44,45.299
2022,Sierra,Cotopaxi,-78.61554,-0.93521,23,12.127
2022,Sierra,Imbabura,-78.12233,0.35171,32,39.733
2022,Sierra,Loja,-79.20422,-3.99313,70,147.187
2022,Sierra,Pichincha,-78.52495,-0.22985,1685,6362.051
2022,Sierra,Tungurahua,-78.61675,-1.24908,110,110.788
